# Rime user dictionary
#@/db_name	phrases_smp_all.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22014
#@/user_id	Rime
a 	啊	c=120 d=1.46935 t=22014
qing yi se 	清一色	c=1 d=0.13466 t=22014
qing zhen 	清真	c=1 d=1 t=19934
qiong 	窮	c=1 d=1 t=20878
qiu 	丘	c=0 d=9.80668e-37 t=22014
qiu 	求	c=4 d=5.1367e-07 t=22014
qiu he 	求和	c=1 d=2.40125e-41 t=22014
qiu jia ru 	求加入	c=1 d=5.05567e-06 t=22014
qiu ran ke 	虯髯客	c=4 d=9.06768e-09 t=22014
qiu shu 	丘叔	c=0 d=0.1 t=20029
qiu shu zhen 	丘叔真	c=1 d=1 t=20030
qiu shui 	秋水	c=0 d=0.1 t=20715
qiu shui tang 	秋水堂	c=1 d=1 t=20716
qu 	區	c=9 d=1.30725e-05 t=22014
qu 	去	c=38 d=0.196713 t=22014
qu 	趣	c=2 d=3.47866e-20 t=22014
qu bie 	區別	c=31 d=0.827158 t=22014
qu chu 	去除	c=1 d=2.72857e-15 t=22014
qu chu 	取出	c=2 d=1.92416e-16 t=22014
qu dian 	取垫	c=1 d=2.62926e-20 t=22014
qu diao 	去掉	c=2 d=0.140858 t=22014
qu dong 	驅動	c=2 d=5.13991e-16 t=22014
qu nian 	去年	c=1 d=1.03256e-24 t=22014
qu xiao 	取消	c=4 d=3.68809e-16 t=22014
qu yu 	區域	c=1 d=0.000221519 t=22014
quan 	全	c=6 d=0.00375788 t=22014
quan 	勸	c=1 d=1.19206e-08 t=22014
quan 	圈	c=1 d=1 t=21400
quan 	拳	c=1 d=2.33552e-38 t=22014
quan ban bu fen 	全半部分	c=1 d=1 t=20399
quan bian 	權變	c=1 d=1 t=20466
quan bu 	全部	c=2 d=9.61338e-07 t=22014
quan bu shi 	全部是	c=1 d=0.138069 t=22014
quan gong neng 	全功能	c=1 d=6.78095e-19 t=22014
quan jia 	全家	c=0 d=4.55252e-09 t=22014
quan jia tong 	全家桶	c=1 d=4.57534e-08 t=22014
quan kao 	全靠	c=1 d=9.12163e-37 t=22014
quan li 	權利	c=1 d=2.43712e-39 t=22014
quan ming 	全名	c=1 d=3.97829e-10 t=22014
quan ni 	劝你	c=1 d=2.08116e-05 t=22014
quan qian 	圈錢	c=2 d=4.45161e-09 t=22014
quan quan 	圈圈	c=1 d=5.72474e-27 t=22014
quan shi 	全市	c=1 d=5.08101e-06 t=22014
quan shu 	全書	c=1 d=3.4674e-40 t=22014
quan tao 	全套	c=2 d=3.63221e-14 t=22014
quan wei 	權威	c=1 d=1 t=20821
quan xian 	權限	c=21 d=0.581475 t=22014
que 	卻	c=1 d=0.00937227 t=22014
que dian 	缺點	c=5 d=0.00727006 t=22014
que ding 	確定	c=6 d=3.9244e-26 t=22014
que hao 	确好	c=1 d=1 t=19873
que qie 	確切	c=1 d=5.96649e-43 t=22014
que shao 	缺少	c=1 d=2.33798e-21 t=22014
que shi 	確實	c=18 d=1.20574 t=22014
que shi xiang 	確實像	c=1 d=1.93078e-05 t=22014
que xian 	缺陷	c=1 d=1 t=20343
qun 	羣	c=26 d=0.270677 t=22014
qun li 	羣裏	c=6 d=1.44297e-20 t=22014
qun ti 	羣體	c=1 d=1.9999e-07 t=22014
qun yuan 	羣员	c=1 d=8.25667e-12 t=22014
qun zhong 	羣衆	c=1 d=6.66275e-18 t=22014
qun zu 	羣組	c=1 d=1.33089e-10 t=22014
ran er 	然而	c=1 d=0.995012 t=22014
ran hou 	然後	c=26 d=0.387712 t=22014
rang 	讓	c=7 d=0.228722 t=22014
rang gei 	讓給	c=0 d=0.1 t=21259
rang gei le 	讓給了	c=1 d=1 t=21260
rao 	繞	c=1 d=1.2375e-07 t=22014
rao guo 	繞過	c=1 d=1.05982e-07 t=22014
rao guo qu 	绕过去	c=1 d=3.88204e-16 t=22014
re qing 	熱情	c=1 d=1.99813e-26 t=22014
ren 	人	c=15 d=0.0934261 t=22014
ren 	仁	c=12 d=0.0374551 t=22014
ren 	忍	c=1 d=6.76689e-24 t=22014
ren da 	人大	c=2 d=3.00261e-12 t=22014
ren fen dan 	人分擔	c=1 d=6.89303e-06 t=22014
ren he 	任何	c=13 d=0.148823 t=22014
ren he ya li 	任何壓力	c=1 d=3.47767e-16 t=22014
ren ji guan xi 	人際關係	c=2 d=3.52718e-35 t=22014
ren jia 	人家	c=3 d=0.0126517 t=22014
ren jian 	人間	c=1 d=0.0125881 t=22014
ren kou da guo 	人口大国	c=1 d=6.77496e-38 t=22014
ren lei 	人類	c=1 d=9.66561e-42 t=22014
ren lian 	人臉	c=1 d=9.12503e-12 t=22014
ren men 	人們	c=1 d=5.591e-43 t=22014
ren min 	人民	c=10 d=2.18833 t=21362
ren min nei bu 	人民內部	c=1 d=0.0205478 t=22014
ren min ri bao 	人民日報	c=2 d=6.97255e-26 t=22014
ren ming 	任命	c=1 d=1 t=21361
ren ne 	人呢	c=1 d=4.81484e-20 t=22014
ren ping 	任憑	c=2 d=1.94176 t=20841
ren qi 	任期	c=2 d=3.16347e-12 t=22014
ren ren 	忍忍	c=1 d=1.17715e-07 t=22014
ren sheng 	人生	c=2 d=1.36422 t=21431
ren sheng ku duan 	人生苦短	c=1 d=5.93067e-31 t=22014
ren shi 	認識	c=2 d=7.41173e-36 t=22014
ren shou 	忍受	c=2 d=0.00794669 t=22014
ren shu 	人數	c=1 d=5.094e-36 t=22014
ren tong gan 	認同感	c=1 d=2.49627e-27 t=22014
ren wei 	認爲	c=4 d=2.99896e-09 t=22014
ren wu 	人物	c=1 d=1 t=20690
ren wu 	任務	c=1 d=1 t=20689
ren xing 	人性	c=1 d=0.0146253 t=22014
ren yuan 	人員	c=1 d=3.38305e-15 t=22014
ren zai 	人在	c=1 d=1.17735e-09 t=22014
ren zheng 	認證	c=2 d=5.24272e-14 t=22014
ri 	日	c=3 d=4.2141e-11 t=22014
ri bao 	日報	c=1 d=1.59668e-05 t=22014
ri li 	日曆	c=2 d=5.86168e-11 t=22014
ri qi 	日期	c=2 d=2.86798e-13 t=22014
ri yu 	日語	c=1 d=4.44995e-34 t=22014
rong 	蓉	c=0 d=0.1 t=20118
rong gui gu li 	榮歸故里	c=1 d=1 t=20516
rong mo mo 	蓉嬷嬷	c=1 d=1 t=20119
rong yao 	榮耀	c=2 d=5.89626e-43 t=22014
rong yi 	容易	c=6 d=0.608914 t=22014
rong yu 	榮譽	c=2 d=2.88082e-07 t=22014
ru 	入	c=1 d=2.00126e-15 t=22014
ru 	如	c=5 d=0.00138093 t=22014
ru ci 	如此	c=1 d=1.21929e-09 t=22014
ru dao 	入道	c=1 d=1 t=20125
ru guo 	如果	c=41 d=0.83655 t=22014
ru guo shi 	如果是	c=1 d=2.11844e-08 t=22014
ru he 	如何	c=51 d=0.904999 t=22014
ru kou 	入口	c=1 d=4.47302e-36 t=22014
ru lin 	儒林	c=6 d=0.0037146 t=22014
ru lin wai shi 	儒林外史	c=14 d=2.05123 t=22014
ru men 	入門	c=1 d=1 t=20285
ru tu 	如圖	c=1 d=1.5516e-21 t=22014
ruan jian 	軟件	c=37 d=0.635727 t=22014
rui jin 	瑞金	c=0 d=0.1 t=21096
rui su 	銳速	c=1 d=5.87485e-08 t=22014
run hua ye 	润滑液	c=1 d=8.23675e-13 t=22014
ruo 	弱	c=1 d=1 t=20703
ruo 	若	c=1 d=1 t=20706
ruo ji 	弱基	c=1 d=2.40631e-07 t=22014
sai er 	塞爾	c=1 d=1.28136e-05 t=22014
san 	三	c=3 d=0.0391639 t=22014
san 	散	c=2 d=5.8505e-09 t=22014
san bei 	三倍	c=2 d=0.00101284 t=22014
san dian 	三點	c=2 d=0.000108366 t=22014
san ge 	三個	c=12 d=0.0131558 t=22014
san guo zhi 	三國志	c=1 d=1 t=20744
san jian 	三間	c=1 d=1 t=20708
san jian shi 	三件事	c=1 d=1.08366e-05 t=22014
san jian shi quan 	三件事全	c=1 d=1 t=20189
san kou 	三口	c=1 d=1 t=20914
san pang 	三胖	c=4 d=2.74965e-13 t=22014
san qiang 	三枪	c=1 d=1 t=21314
san qing 	三清	c=2 d=4.62138e-29 t=22014
san tao 	三套	c=1 d=1.204e-37 t=22014
san tian 	三天	c=2 d=3.19754e-28 t=22014
san wei 	三位	c=4 d=0.122136 t=22014
san yan 	三言	c=1 d=1 t=20736
san yan er pai 	三言二拍	c=1 d=8.39716e-34 t=22014
san yue 	三月	c=2 d=5.76146e-14 t=22014
san zhong 	三種	c=1 d=5.23558e-35 t=22014
sang na 	桑拿	c=1 d=1.8287e-13 t=22014
sao miao 	掃描	c=3 d=8.73259e-24 t=22014
sen 	森	c=0 d=1.24884e-27 t=22014
sha 	傻	c=1 d=0.0225956 t=22014
sha 	啥	c=38 d=2.18873 t=22014
sha 	殺	c=2 d=1.41518e-18 t=22014
sha dong xi 	啥东西	c=1 d=3.33087e-38 t=22014
sha qing kuang 	啥情況	c=1 d=8.81418e-16 t=22014
sha ren you xi 	杀人游戏	c=1 d=9.7124e-40 t=22014
sha ru 	殺入	c=1 d=2.16794e-15 t=22014
sha rui jin 	啥瑞金	c=1 d=1 t=21097
sha shi hou 	啥時候	c=1 d=2.42422e-06 t=22014
sha shou 	殺手	c=3 d=6.11669e-12 t=22014
sha si 	殺死	c=2 d=7.34586e-19 t=22014
sha tian 	沙田	c=3 d=8.81494e-35 t=22014
sha ye 	杀业	c=1 d=7.03707e-14 t=22014
sha yi si 	啥意思	c=3 d=2.45394e-32 t=22014
sha yong 	啥用	c=2 d=1.30594e-06 t=22014
sha you xi 	啥遊戲	c=1 d=0.108067 t=22014
sha yuan li 	啥原理	c=1 d=1.57805e-14 t=22014
sha zi 	傻子	c=1 d=3.91014e-42 t=22014
shai 	曬	c=1 d=3.63452e-35 t=22014
shan 	刪	c=1 d=2.77886e-24 t=22014
shan 	山	c=2 d=0.000683978 t=22014
shan 	閃	c=2 d=5.27698e-09 t=22014
shan chu 	刪除	c=36 d=2.74724e-14 t=22014
shan diao 	刪掉	c=2 d=1.0527e-16 t=22014
shan gao shui di 	山高水低	c=1 d=1 t=20540
shan guang 	閃光	c=1 d=5.81126e-27 t=22014
shan guang deng 	閃光燈	c=1 d=4.1242e-22 t=22014
shan liang 	善良	c=1 d=5.09573e-40 t=22014
shan tui 	閃退	c=13 d=1.46657e-05 t=22014
shang 	上	c=94 d=2.46425 t=22014
shang 	商	c=3 d=1.64854e-34 t=22014
shang 	賞	c=4 d=5.25819e-21 t=22014
shang ban 	上班	c=3 d=4.28886e-12 t=22014
shang bang 	上榜	c=2 d=8.45679e-12 t=22014
shang bian 	上邊	c=1 d=5.41838e-27 t=22014
shang bu 	上部	c=0 d=2.38359e-14 t=22014
shang bu le 	上部了	c=1 d=2.39553e-13 t=22014
shang bu qu 	上不去	c=1 d=4.82057e-34 t=22014
shang ceng 	上層	c=1 d=6.22394e-40 t=22014
shang chu 	傷處	c=1 d=3.17997e-22 t=22014
shang chuan 	上傳	c=2 d=4.14924e-05 t=22014
shang chuan dao 	上傳到	c=1 d=1 t=21955
shang ci 	上次	c=4 d=0.00177634 t=22014
shang dang 	上當	c=1 d=1.02706e-20 t=22014
shang dian 	商店	c=4 d=9.27391e-16 t=22014
shang gan 	傷感	c=1 d=2.22168e-09 t=22014
shang ge 	上個	c=1 d=3.50773e-29 t=22014
shang hai 	上海	c=6 d=0.000415428 t=22014
shang hao 	上好	c=1 d=7.03444e-39 t=22014
shang ji 	上級	c=1 d=8.81718e-20 t=22014
shang jia 	上架	c=1 d=9.19607e-15 t=22014
shang lai 	上來	c=2 d=5.92988e-37 t=22014
shang liang 	商量	c=2 d=5.12526e-12 t=22014
shang men 	上門	c=1 d=1.15522e-21 t=22014
shang mian 	上面	c=8 d=0.486772 t=22014
shang shi 	上市	c=2 d=0.000248134 t=22014
shang shou 	上手	c=1 d=2.15339e-24 t=22014
shang tou le 	伤透了	c=1 d=0.171187 t=22014
shang wang 	上網	c=3 d=0.00208081 t=22014
shang wei 	上位	c=1 d=1.20983e-35 t=22014
shang xi 	賞析	c=1 d=1 t=20688
shang xia pu 	上下铺	c=1 d=3.8794e-08 t=22014
shang ye 	商業	c=1 d=4.14924e-05 t=22014
shang ye ban 	上夜班	c=1 d=8.41316e-27 t=22014
shang yi ge 	上一個	c=1 d=6.27687e-22 t=22014
shang yong ji 	商用机	c=1 d=1.87857e-06 t=22014
shao 	少	c=2 d=1.41295e-08 t=22014
shao 	捎	c=2 d=2.86588e-08 t=22014
shao 	燒	c=1 d=4.93237e-39 t=22014
shao deng 	稍等	c=2 d=5.16405e-20 t=22014
shao le 	少了	c=2 d=2.12465e-13 t=22014
shao mei 	燒煤	c=2 d=1.35786e-37 t=22014
shao nian 	少年	c=2 d=0.975446 t=22014
shao shao 	稍稍	c=1 d=5.65989e-40 t=22014
shao shu 	少數	c=1 d=0.0234005 t=22014
shao wei 	稍微	c=4 d=1.90508e-11 t=22014
she 	蛇	c=2 d=0.000200439 t=22014
she bei 	設備	c=2 d=2.54185e-34 t=22014
she hui 	社會	c=4 d=0.0464748 t=22014
she ji 	設計	c=1 d=0.00186406 t=22014
she ji yuan 	設計院	c=2 d=1.9802 t=20204
she me 	什麼	c=1 d=6.68227e-23 t=22014
she qu 	社區	c=2 d=1.87372 t=21972
she xiang 	攝像	c=2 d=1.05509e-32 t=22014
she xiang tou 	攝像頭	c=1 d=5.50027e-27 t=22014
she zhi 	設置	c=61 d=0.829229 t=22014
she zhi li 	設置裏	c=2 d=0.0105145 t=22014
she zhi li mian 	設置裏面	c=1 d=1 t=21708
shen bian 	身邊	c=2 d=1.85092e-08 t=22014
shen fen zheng 	身份證	c=2 d=8.07749e-39 t=22014
shen jing 	神經	c=1 d=0.0213864 t=22014
shen me 	什麼	c=150 d=1.12127 t=22014
shen me hui shi 	什麼回事	c=1 d=9.73423e-37 t=22014
shen me shi 	什麼是	c=2 d=9.84898e-39 t=22014
shen me shi hou 	什麼時候	c=1 d=1 t=21110
shen me shi qing 	什麼事情	c=1 d=2.34116e-37 t=22014
shen me yang 	什麼樣	c=3 d=3.55347e-05 t=22014
shen me yi si 	什麼意思	c=3 d=0.00909528 t=22014
shen nong jia 	神農架	c=2 d=1.49801e-08 t=22014
shen qing 	申請	c=1 d=5.36173e-21 t=22014
shen shang 	身上	c=1 d=0.0347353 t=22014
shen tan 	神探	c=1 d=0.000105163 t=22014
shen tan di ren jie 	神探狄仁杰	c=2 d=0.000205647 t=22014
shen ti 	身體	c=1 d=3.68118e-38 t=22014
shen wei 	甚爲	c=1 d=1.83531e-26 t=22014
shen zhi 	甚至	c=1 d=6.70983e-42 t=22014
shen zhong 	身中	c=1 d=1 t=21313
shen zhou xing 	神州行	c=1 d=1.51535e-37 t=22014
sheng 	昇	c=2 d=0.00802655 t=22014
sheng 	生	c=1 d=0.0204453 t=22014
sheng 	省	c=3 d=0.0515605 t=22014
sheng cheng 	生成	c=2 d=8.48554e-34 t=22014
sheng chi 	生吃	c=1 d=3.20026e-38 t=22014
sheng dian 	省電	c=2 d=2.63396e-18 t=22014
sheng diao 	聲調	c=8 d=6.90315 t=20647
sheng hua wei ji 	生化危機	c=2 d=1.39282e-08 t=22014
sheng huo 	生活	c=1 d=1.52217e-31 t=22014
sheng ji 	升級	c=46 d=0.000112949 t=22014
sheng ji bao 	升級包	c=1 d=3.85402e-19 t=22014
sheng ji dao 	升级到	c=2 d=3.53695e-09 t=22014
sheng li 	勝利	c=3 d=1.67165 t=21159
sheng long jia 	省龙甲	c=1 d=7.60089e-09 t=22014
sheng ming 	生命	c=1 d=6.23475e-31 t=22014
sheng ming 	聲明	c=1 d=6.21653e-26 t=22014
sheng ren 	聖人	c=3 d=0.00500255 t=22014
sheng yin 	聲音	c=2 d=0.000330468 t=22014
sheng zhi 	聖旨	c=1 d=7.30387e-40 t=22014
sheng zhi qi 	生殖器	c=1 d=1.09753e-36 t=22014
shi 	史	c=7 d=8.78078e-07 t=22014
shi 	屎	c=2 d=1.26229e-05 t=22014
shi 	市	c=1 d=1.0365e-10 t=22014
shi 	是	c=512 d=5.02913 t=22014
shi 	時	c=27 d=0.227534 t=22014
shi 	石	c=1 d=2.867e-09 t=22014
shi a 	是啊	c=3 d=5.95331e-17 t=22014
shi ba 	十八	c=1 d=7.08944e-13 t=22014
shi ba 	是吧	c=4 d=7.17685e-10 t=22014
shi bao hao si 	是包豪斯	c=1 d=7.49666e-23 t=22014
shi bie 	識別	c=2 d=9.17077e-12 t=22014
shi bing 	士兵	c=4 d=0.101568 t=22014
shi bu shi 	是不是	c=56 d=1.03941 t=22014
shi bu zhi dao 	是不知道	c=1 d=3.58724e-28 t=22014
shi chang 	失常	c=1 d=5.96446e-39 t=22014
shi chang 	市場	c=2 d=0.0752014 t=22014
shi cheng 	師承	c=1 d=1 t=21393
shi cong 	適從	c=1 d=1.77556e-19 t=22014
shi dang 	適當	c=1 d=2.23784e-06 t=22014
shi fan 	師範	c=3 d=2.50757e-35 t=22014
shi fan da xue 	師範大學	c=1 d=4.65557e-36 t=22014
shi fei 	是非	c=0 d=0.1 t=20564
shi fei chang 	是非常	c=1 d=0.0188734 t=22014
shi fou 	是否	c=8 d=3.61313e-07 t=22014
shi ge 	十個	c=1 d=5.00691e-39 t=22014
shi ge 	是個	c=5 d=1.6983e-17 t=22014
shi guo 	試過	c=3 d=0.178173 t=22014
shi ha 	是哈	c=3 d=1.83756e-11 t=22014
shi he 	適合	c=3 d=2.70907e-05 t=22014
shi he 	食盒	c=2 d=6.13879e-25 t=22014
shi he me me 	適合麼麼	c=1 d=4.37923e-22 t=22014
shi hen 	是很	c=0 d=1.00307e-37 t=22014
shi hen me 	是很麼	c=1 d=1.0081e-36 t=22014
shi hou 	時候	c=15 d=1.32871e-17 t=22014
shi hui 	實惠	c=1 d=4.02785e-38 t=22014
shi ji 	十幾	c=0 d=5.57562e-41 t=22014
shi ji 	實際	c=3 d=2.53753e-14 t=22014
shi ji hui 	十幾回	c=1 d=5.60357e-40 t=22014
shi ji nian qian 	是幾年前	c=1 d=5.85949e-36 t=22014
shi jia 	世家	c=1 d=6.07027e-40 t=22014
shi jian 	事件	c=3 d=0.000406942 t=22014
shi jian 	時間	c=11 d=0.117655 t=22014
shi jian duan 	時間段	c=1 d=2.44984e-12 t=22014
shi jie 	世界	c=11 d=1.8864e-40 t=22014
shi jie li 	世界裏	c=0 d=5.70395e-44 t=22014
shi ke 	時刻	c=2 d=2.18684e-42 t=22014
shi le 	试了	c=3 d=0.0805942 t=22014
shi li pai 	實力派	c=2 d=6.31499e-05 t=22014
shi luo 	失落	c=1 d=0.187308 t=22014
shi ma 	是嗎	c=2 d=0.00231117 t=22014
shi ming 	實名	c=1 d=5.35535e-07 t=22014
shi niao 	屎尿	c=1 d=7.13225e-25 t=22014
shi pin 	視頻	c=30 d=7.7235e-05 t=22014
shi qi 	時期	c=1 d=3.0291e-09 t=22014
shi qing 	事情	c=3 d=0.603506 t=22014
shi ren 	時任	c=1 d=1 t=21419
shi san 	十三	c=1 d=2.62024e-09 t=22014
shi sha 	是啥	c=1 d=6.55218e-27 t=22014
shi shen 	食神	c=1 d=1 t=20298
shi sheng 	師生	c=1 d=6.31801e-40 t=22014
shi shi 	事實	c=1 d=1.03664e-41 t=22014
shi shi 	實時	c=1 d=9.54503e-12 t=22014
shi shi 	試試	c=13 d=0.655051 t=22014
shi tang li 	食堂里	c=1 d=1.68461e-18 t=22014
shi wu 	實物	c=1 d=7.17289e-33 t=22014
shi xian 	實現	c=1 d=4.10796e-05 t=22014
shi xiao 	失效	c=2 d=6.67204e-05 t=22014
shi xiong di 	師兄弟	c=1 d=1 t=21392
shi yan 	實驗	c=3 d=1.47736e-40 t=22014
shi yan 	飾演	c=1 d=0.00286554 t=22014
shi yi ci 	试一次	c=1 d=5.51076e-20 t=22014
shi yi shi 	試一試	c=6 d=3.70873e-06 t=22014
shi yi xia 	试一下	c=6 d=0.000524656 t=22014
shi yin wei 	是因为	c=1 d=0.0518189 t=22014
shi ying 	適應	c=1 d=1.91157e-05 t=22014
shi yong 	使用	c=5 d=0.839457 t=22014
shi yong 	試用	c=1 d=0.000112226 t=22014
shi zhe 	試着	c=1 d=7.67467e-05 t=22014
shi zhong 	始終	c=1 d=1.3606e-05 t=22014
shou 	受	c=1 d=3.71881e-40 t=22014
shou 	手	c=1 d=1.07043e-36 t=22014
shou bi 	手臂	c=1 d=2.15529e-05 t=22014
shou bian 	手邊	c=1 d=1.42812e-16 t=22014
shou bian 	收編	c=1 d=1 t=21112
shou bu dao 	收不到	c=2 d=1.36032e-32 t=22014
shou bu le 	受不了	c=1 d=1.68111e-23 t=22014
shou ce 	手冊	c=1 d=1.28202e-11 t=22014
shou dao 	收到	c=4 d=6.87605e-21 t=22014
shou dao le 	收到了	c=1 d=1.512e-11 t=22014
shou dian tong 	手電筒	c=1 d=3.27626e-20 t=22014
shou dong 	手動	c=5 d=0.00113061 t=22014
shou dong dang 	手動擋	c=0 d=1.04924e-37 t=22014
shou dong dang wei 	手動擋位	c=1 d=1.0545e-36 t=22014
shou fei 	收費	c=5 d=0.000202323 t=22014
shou gou 	收購	c=2 d=0.000118576 t=22014
shou guan 	授官	c=1 d=7.05265e-40 t=22014
shou hai zhe 	受害者	c=1 d=0.0295994 t=22014
shou hou 	售後	c=9 d=1.31145e-24 t=22014
shou huan ying 	受歡迎	c=1 d=3.04428e-09 t=22014
shou hui 	收回	c=1 d=3.59652e-29 t=22014
shou ji 	手機	c=137 d=3.1827 t=22014
shou ji 	收集	c=2 d=7.12535e-07 t=22014
shou ji ban 	手机版	c=1 d=0.0374406 t=22014
shou ji guan jia 	手機管家	c=1 d=1.98405e-31 t=22014
shou ji hao 	手机号	c=21 d=6.1901e-07 t=22014
shou ji li 	手機裏	c=1 d=1.9643e-31 t=22014
shou ji shang 	手机上	c=2 d=0.0739031 t=22014
shou ji shu ru fa 	手机输入法	c=1 d=1.11011e-23 t=22014
shou li 	手裏	c=1 d=5.77539e-13 t=22014
shou mai 	收買	c=1 d=1.74758e-38 t=22014
shou quan 	授權	c=1 d=4.31857e-05 t=22014
shou shang 	受傷	c=1 d=6.7821e-21 t=22014
shou shang 	手上	c=1 d=6.8161e-21 t=22014
shou shi 	手勢	c=2 d=6.61352e-19 t=22014
shou wan 	手腕	c=1 d=2.13384e-05 t=22014
shou ye 	首頁	c=2 d=0.0538667 t=22014
shou zhi 	手指	c=2 d=2.15106e-05 t=22014
shou zhi tou 	手指頭	c=1 d=1.33366e-05 t=22014
shou zhong 	手中	c=1 d=1 t=21272
shou zhu 	守住	c=1 d=1 t=20880
shou zou 	收走	c=0 d=1.52295e-38 t=22014
shou zou le 	收走了	c=1 d=1.53058e-37 t=22014
shou zu 	收租	c=1 d=1.09501 t=20092
shou zu po 	收租婆	c=1 d=1 t=20093
shu 	數	c=1 d=5.75736e-35 t=22014
shu 	書	c=1 d=4.38594e-40 t=22014
shu biao 	鼠標	c=8 d=3.13692e-05 t=22014
shu chu 	輸出	c=3 d=2.54279e-29 t=22014
shu fa 	書法	c=1 d=1.39694e-21 t=22014
shu ji 	書記	c=4 d=3.00186 t=21118
shu ju 	數據	c=18 d=0.00015648 t=22014
shu ju 	書局	c=2 d=1.96079 t=20735
shu ju liang 	數據量	c=2 d=3.18495e-11 t=22014
shu li 	書裏	c=3 d=0.000495472 t=22014
shu liang 	數量	c=2 d=5.71335e-35 t=22014
shu ming 	署名	c=1 d=8.35528e-34 t=22014
shu qi 	舒淇	c=1 d=2.35987e-13 t=22014
shu ru 	輸入	c=13 d=1.17928 t=22014
shu ru fa 	輸入法	c=20 d=0.00221647 t=22014
shu shu 	蜀黍	c=1 d=1.1982e-39 t=22014
shu xi 	熟悉	c=1 d=2.43464e-27 t=22014
shu xue 	數學	c=1 d=1.81482e-41 t=22014
shu yu 	屬於	c=1 d=3.66793e-25 t=22014
shu zhong 	書中	c=1 d=5.95007e-40 t=22014
shu zi 	數字	c=1 d=1 t=21205
shua 	刷	c=55 d=2.20831 t=22014
shua guo 	刷过	c=2 d=0.123687 t=22014
shua hui 	刷回	c=9 d=2.63107e-14 t=22014
shua ji 	刷機	c=25 d=0.138761 t=22014
shua ji qian 	刷機前	c=1 d=3.2678e-19 t=22014
shua jin qu 	刷進去	c=1 d=1.10935e-15 t=22014
shua le 	刷了	c=3 d=2.39125e-16 t=22014
shua qi lai 	刷起來	c=1 d=2.48171e-17 t=22014
shua ru 	刷入	c=1 d=2.1788e-15 t=22014
shua ru 	刷如	c=3 d=1.06151e-15 t=22014
shua shua 	刷刷	c=1 d=7.47857e-24 t=22014
shua wan 	耍玩	c=1 d=2.36027e-15 t=22014
shua xin 	刷新	c=1 d=2.97114e-17 t=22014
shua yi ci 	刷一次	c=1 d=0.56836 t=22014
shua yi ge 	刷一個	c=1 d=2.43257e-17 t=22014
shuai 	摔	c=3 d=0.380983 t=22014
shuai 	甩	c=1 d=3.33892e-37 t=22014
shuai ruo 	衰弱	c=1 d=1 t=20866
shuang 	雙	c=6 d=9.23431e-05 t=22014
shuang feng 	雙峯	c=1 d=6.10833e-41 t=22014
shuang feng 	雙縫	c=1 d=6.62592e-41 t=22014
shuang feng gan she 	雙峯干涉	c=1 d=1.73497e-41 t=22014
shuang ji 	雙擊	c=1 d=6.67999e-19 t=22014
shuang ka 	雙卡	c=1 d=1.89771e-37 t=22014
shuang qing 	雙清	c=30 d=3.83436e-16 t=22014
shuang xiang 	雙向	c=3 d=1.81884 t=22014
shuang yin hao 	雙引號	c=2 d=1.95123 t=20175
shui 	水	c=3 d=5.97351e-18 t=22014
shui 	誰	c=24 d=0.0358758 t=22014
shui guo 	水果	c=3 d=3.53627e-06 t=22014
shui guo lao ban 	水果老闆	c=1 d=1.50913e-18 t=22014
shui hu zhuan 	水滸傳	c=2 d=1.99501 t=21893
shui ji 	水劑	c=1 d=4.49162e-26 t=22014
shui jiao 	睡覺	c=9 d=0.56836 t=22014
shui ku 	水庫	c=1 d=7.75419e-38 t=22014
shui li 	水裏	c=1 d=1.52429e-18 t=22014
shui mu 	水木	c=3 d=2.84582 t=21974
shui ping 	水平	c=3 d=2.02557e-10 t=22014
shui qian 	睡前	c=1 d=1 t=21899
shui you 	誰有	c=1 d=1.58677e-20 t=22014
shui zai 	誰在	c=1 d=4.14981e-36 t=22014
shui zhi dao 	誰知道	c=1 d=1.01632e-14 t=22014
shun bian 	順便	c=1 d=3.01707e-21 t=22014
shun chang 	順暢	c=2 d=0.0547488 t=22014
shun dai 	順帶	c=2 d=0.00814786 t=22014
shun jian 	瞬間	c=1 d=3.05259e-41 t=22014
shun xu 	順序	c=1 d=1.29042e-29 t=22014
shuo 	說	c=63 d=1.17361 t=22014
shuo bai le 	說白了	c=1 d=6.74117e-38 t=22014
shuo bu ding 	說不定	c=1 d=4.10014e-12 t=22014
shuo cuo le 	说错了	c=3 d=2.32e-06 t=22014
shuo fa 	說法	c=1 d=4.27838e-42 t=22014
shuo le 	說了	c=1 d=2.63329e-38 t=22014
shuo ming 	說明	c=12 d=0.000385874 t=22014
shuo ming shu 	說明書	c=1 d=6.54772e-19 t=22014
shuo ne 	說呢	c=1 d=2.26103e-39 t=22014
shuo shuo 	說說	c=6 d=0.0527624 t=22014
shuo shuo yan yuan 	說說演員	c=1 d=1 t=20958
shuo yi shuo 	說一說	c=1 d=1 t=20886
shuo yi xia 	说一下	c=2 d=5.25109e-11 t=22014
si 	寺	c=1 d=3.08494e-18 t=22014
si 	死	c=6 d=0.0763397 t=22014
si bu xiang 	四不像	c=1 d=8.52869e-11 t=22014
si da 	四大	c=1 d=3.23188e-36 t=22014
si da ming zhu 	四大名著	c=2 d=6.62772e-36 t=22014
si fa 	私法	c=1 d=9.68403e-35 t=22014
